Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",72.69999999999801,"[0, 0]","[0, 0]","[0, 0]",1
2,"[2, 3]",76.74999999999778,"[1, 1]","[0, 0]","[0, 0]",1
3,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
4,"[2, 3]",79.19999999999764,"[2, 2]","[0, 0]","[0, 0]",1
5,"[2, 3]",82.84999999999744,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 3]",86.39999999999723,"[5, 5]","[0, 0]","[0, 0]",1
7,"[0, 1]",68.74999999999824,"[3, 3]","[0, 0]","[0, 0]",1
8,"[0, 1]",72.74999999999801,"[7, 7]","[0, 0]","[0, 0]",1
9,"[0, 1]",76.24999999999781,"[8, 8]","[0, 0]","[0, 0]",1
10,"[2, 3]",85.79999999999727,"[6, 6]","[0, 0]","[0, 0]",1
11,"[2, 3]",89.09999999999708,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",92.64999999999688,"[11, 11]","[0, 0]","[0, 0]",1
13,"[0, 1]",75.39999999999786,"[9, 9]","[0, 0]","[0, 0]",1
14,"[2, 3]",95.24999999999673,"[12, 12]","[0, 0]","[0, 0]",1
15,"[0, 1]",77.09999999999776,"[13, 13]","[0, 0]","[0, 0]",1
16,"[2, 3]",98.24999999999656,"[14, 14]","[0, 0]","[0, 0]",1
17,"[0, 1]",78.69999999999767,"[15, 15]","[0, 0]","[0, 0]",1
18,"[2, 3]",101.34999999999638,"[16, 16]","[6.149999999999986, 0]","[0, 0]",1
19,"[2, 3]",105.89999999999613,"[18, 18]","[8.74999999999999, 0]","[0, 0]",1
20,"[0, 1]",78.84999999999766,"[17, 17]","[0, 0]","[0, 0]",1
21,"[0, 1]",81.7999999999975,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",84.89999999999732,"[21, 21]","[0, 0]","[0, 0]",1
23,"[0, 1]",88.29999999999713,"[22, 22]","[0, 0]","[0, 0]",1
24,"[0, 1]",91.94999999999692,"[23, 23]","[0, 0]","[0, 0]",1
25,"[0, 1]",95.6999999999967,"[24, 24]","[0, 0]","[0, 0]",1
26,"[2, 3]",102.34999999999633,"[19, 19]","[6.399999999999985, 0]","[0, 0]",1
27,"[2, 3]",106.89999999999607,"[26, 26]","[4.699999999999991, 0]","[0, 0]",1
28,"[2, 3]",111.44999999999581,"[27, 27]","[3.149999999999997, 0]","[0, 0]",1
29,"[2, 3]",115.94999999999555,"[28, 28]","[1.6500000000000008, 0]","[0, 0]",1
30,"[2, 3]",120.4999999999953,"[29, 29]","[0, 0]","[0, 0]",1
31,"[2, 3]",124.99999999999504,"[30, 30]","[0, 0]","[0, 0]",1
32,"[2, 3]",129.4999999999952,"[31, 31]","[0, 0]","[0, 0]",1
33,"[0, 1]",89.94999999999703,"[25, 25]","[0, 0]","[0, 0]",1
34,"[2, 3]",132.6499999999959,"[32, 32]","[0, 0]","[0, 0]",1
35,"[0, 1]",92.2999999999969,"[33, 33]","[0, 0]","[0, 0]",1
36,"[2, 3]",135.84999999999664,"[34, 34]","[0, 0]","[0, 0]",1
37,"[0, 1]",94.59999999999677,"[35, 35]","[0, 0]","[0, 0]",1
38,"[2, 3]",138.94999999999735,"[36, 36]","[0, 0]","[0, 0]",1
39,"[2, 3]",143.5499999999984,"[38, 38]","[0, 0]","[0, 0]",1
40,"[0, 1]",95.59999999999671,"[37, 37]","[0, 0]","[0, 0]",1
41,"[2, 3]",146.6999999999991,"[39, 39]","[0, 0]","[0, 0]",1
42,"[2, 3]",151.20000000000013,"[41, 41]","[0, 0]","[0, 0]",1
43,"[2, 3]",155.75000000000117,"[42, 42]","[0, 0]","[0, 0]",1
44,"[2, 3]",160.3000000000022,"[43, 43]","[0, 0]","[0, 0]",1
45,"[0, 1]",93.89999999999681,"[40, 40]","[0, 0]","[0, 0]",1
46,"[0, 1]",97.4999999999966,"[45, 45]","[0, 0]","[0, 0]",1
47,"[2, 3]",162.1000000000026,"[44, 44]","[0, 0]","[0, 0]",1
48,"[2, 3]",166.65000000000364,"[47, 47]","[0, 0]","[0, 0]",1
49,"[2, 3]",171.15000000000467,"[48, 48]","[0, 0]","[0, 0]",1
50,"[2, 3]",175.7500000000057,"[49, 49]","[0, 0]","[0, 0]",1
51,"[2, 3]",180.25000000000674,"[50, 50]","[0, 0]","[0, 0]",1
52,"[0, 1]",94.44999999999678,"[46, 46]","[0, 0]","[0, 0]",1
53,"[2, 3]",183.40000000000745,"[51, 51]","[0, 0]","[0, 0]",1
54,"[0, 1]",96.69999999999665,"[52, 52]","[0, 0]","[0, 0]",1
55,"[0, 1]",100.34999999999644,"[54, 54]","[0, 0]","[0, 0]",1
56,"[2, 3]",185.30000000000788,"[53, 53]","[0, 0]","[0, 0]",1
57,"[2, 3]",189.8000000000089,"[56, 56]","[0, 0]","[0, 0]",1
58,"[2, 3]",194.35000000000994,"[57, 57]","[0, 0]","[0, 0]",1
59,"[0, 1]",99.99999999999646,"[55, 55]","[0, 0]","[0, 0]",1
60,"[0, 1]",103.69999999999625,"[59, 59]","[0, 0]","[0, 0]",1
61,"[0, 1]",107.34999999999604,"[60, 60]","[0, 0]","[0, 0]",1
62,"[2, 3]",194.80000000001004,"[58, 58]","[0, 0]","[0, 0]",1
63,"[2, 3]",199.35000000001108,"[62, 62]","[0, 0]","[0, 0]",1
64,"[2, 3]",203.9000000000121,"[63, 63]","[0, 0]","[0, 0]",1
65,"[2, 3]",208.40000000001314,"[64, 64]","[0, 0]","[0, 0]",1
66,"[0, 1]",105.59999999999614,"[61, 61]","[0, 0]","[0, 0]",1
67,"[2, 3]",211.55000000001385,"[65, 65]","[0, 0]","[0, 0]",1
68,"[0, 1]",107.94999999999601,"[66, 66]","[0, 0]","[0, 0]",1
69,"[2, 3]",214.75000000001458,"[67, 67]","[0, 0]","[0, 0]",1
70,"[0, 1]",110.19999999999588,"[68, 68]","[0, 0]","[0, 0]",1
71,"[2, 3]",217.9000000000153,"[69, 69]","[0, 0]","[0, 0]",1
72,"[2, 3]",222.45000000001633,"[71, 71]","[0, 0]","[0, 0]",1
73,"[2, 3]",226.95000000001735,"[72, 72]","[0, 0]","[0, 0]",1
74,"[0, 1]",109.7999999999959,"[70, 70]","[0, 0]","[0, 0]",1
75,"[2, 3]",230.15000000001808,"[73, 73]","[0, 0]","[0, 0]",1
76,"[0, 1]",112.14999999999577,"[74, 74]","[0, 0]","[0, 0]",1
77,"[2, 3]",233.3000000000188,"[75, 75]","[0, 0]","[0, 0]",1
78,"[2, 3]",237.85000000001983,"[77, 77]","[0, 0]","[0, 0]",1
