Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",70.34999999999815,"[0, -999]","[1.850000000000001, 0]","[0, 0]",1
2,"[0, 3]",107.04999999999606,"[-999, 17]","[0, 0]","[2.799999999999998, 0]",1
3,"[0, 3]",110.44999999999587,"[2, 2]","[1.950000000000001, 0]","[0, 0]",1
4,"[0, 3]",113.89999999999567,"[3, 3]","[4.499999999999992, 0]","[0, 0]",1
5,"[2, 3]",71.1999999999981,"[1, 1]","[0.05, 0]","[0, 0]",1
6,"[2, 3]",75.29999999999787,"[5, 5]","[2.25, 0]","[0, 0]",1
7,"[0, 3]",120.09999999999532,"[4, 28]","[6.449999999999985, 0.05]","[2.0500000000000007, 0]",1
8,"[0, 1]",91.39999999999695,"[7, -999]","[6.999999999999983, 0]","[0, 0]",1
9,"[0, 1]",95.19999999999673,"[8, 8]","[9.600000000000001, 0]","[0, 0]",1
10,"[0, 1]",103.44999999999627,"[9, 34]","[14.650000000000073, 0]","[2.3999999999999995, 0]",1
11,"[2, 3]",73.64999999999796,"[6, 6]","[0.05, 0]","[0, 0]",1
12,"[2, 1]",45.59999999999955,"[11, -999]","[1.950000000000001, 0]","[0, 0]",1
13,"[0, 3]",135.29999999999652,"[10, 35]","[12.200000000000038, 0]","[0, 0]",1
14,"[2, 3]",75.49999999999785,"[12, 11]","[2.799999999999998, 0]","[0, 0]",1
15,"[2, 3]",79.64999999999762,"[14, 14]","[5.04999999999999, 0]","[0, 0]",1
16,"[0, 1]",106.19999999999611,"[13, 10]","[12.100000000000037, 0]","[0, 0]",1
17,"[2, 3]",81.89999999999749,"[15, 15]","[5.899999999999987, 0]","[0, 0]",1
18,"[0, 1]",108.59999999999597,"[16, 16]","[13.400000000000055, 0]","[0, 0]",1
19,"[0, 1]",112.34999999999576,"[18, 18]","[16.050000000000093, 0]","[0, 0]",1
20,"[0, 3]",145.99999999999895,"[19, 42]","[18.70000000000013, 0]","[0, 0]",1
21,"[0, 1]",119.84999999999533,"[20, 43]","[21.300000000000168, 0]","[0, 0]",1
22,"[0, 1]",128.54999999999498,"[21, 45]","[26.550000000000242, 0]","[2.5999999999999988, 0]",1
23,"[2, 1]",46.29999999999951,"[17, 12]","[1.4000000000000006, 0]","[0, 0]",1
24,"[0, 1]",130.14999999999534,"[22, 22]","[25.250000000000224, 0]","[0, 0]",1
25,"[0, 3]",163.50000000000293,"[24, 20]","[27.90000000000026, 0]","[0, 0]",1
26,"[0, 3]",168.50000000000406,"[25, 25]","[30.5000000000003, 0]","[0, 0]",1
27,"[2, 1]",45.54999999999955,"[23, 23]","[0.05, 0]","[0, 0]",1
28,"[2, 3]",86.64999999999722,"[27, 4]","[8.649999999999988, 0]","[6.649999999999984, 0]",1
29,"[2, 3]",95.29999999999673,"[28, 7]","[4.249999999999993, 0]","[0, 0]",1
30,"[0, 1]",138.49999999999724,"[26, 52]","[29.10000000000028, 0]","[0, 0]",1
31,"[0, 1]",142.19999999999808,"[30, 30]","[31.750000000000316, 0]","[0, 0]",1
32,"[0, 1]",145.89999999999893,"[31, 31]","[34.350000000000186, 0]","[0, 0]",1
33,"[0, 3]",179.7000000000066,"[32, 53]","[37.000000000000036, 0]","[0, 0]",1
34,"[2, 1]",67.19999999999833,"[29, 9]","[13.00000000000005, 0]","[0, 0]",1
35,"[2, 3]",99.09999999999651,"[34, 29]","[22.350000000000183, 0]","[0.35, 0]",1
36,"[0, 3]",181.95000000000712,"[33, 33]","[36.95000000000004, 0]","[0, 0]",1
37,"[0, 1]",155.9000000000012,"[36, 58]","[39.59999999999989, 0]","[0, 0]",1
38,"[0, 1]",159.50000000000202,"[37, 37]","[42.19999999999974, 0]","[0, 0]",1
39,"[2, 3]",105.69999999999614,"[35, 13]","[20.500000000000156, 0]","[0, 0]",1
40,"[0, 1]",166.25000000000355,"[38, 61]","[46.99999999999947, 0]","[2.499999999999999, 0]",1
41,"[0, 3]",198.950000000011,"[40, 59]","[47.64999999999943, 0]","[0, 0]",1
42,"[2, 3]",106.99999999999606,"[39, 39]","[17.650000000000116, 0]","[0, 0]",1
43,"[2, 1]",85.64999999999728,"[42, 19]","[18.200000000000124, 0]","[0, 0]",1
44,"[0, 1]",170.65000000000455,"[41, 62]","[47.94999999999941, 0]","[0, 0]",1
45,"[2, 1]",93.84999999999681,"[43, 21]","[20.600000000000158, 0.05]","[3.099999999999997, 0]",1
46,"[0, 1]",179.00000000000645,"[44, 66]","[52.09999999999918, 0.05]","[2.6499999999999986, 0]",1
47,"[0, 3]",210.10000000001352,"[46, 41]","[52.34999999999916, 0]","[0, 0]",1
48,"[0, 1]",183.90000000000757,"[47, 67]","[55.149999999999004, 0]","[0, 0]",1
49,"[0, 1]",192.10000000000943,"[48, 68]","[60.5499999999987, 0]","[2.5999999999999988, 0]",1
50,"[0, 1]",201.2500000000115,"[49, 69]","[62.79999999999857, 0.05]","[2.1000000000000005, 0]",1
51,"[0, 1]",209.00000000001327,"[50, 70]","[65.74999999999841, 0.05]","[2.25, 0]",1
52,"[2, 1]",98.39999999999655,"[45, 24]","[17.100000000000108, 0]","[6.5999999999999845, 0]",1
53,"[2, 3]",138.09999999999715,"[52, 26]","[14.150000000000066, 0]","[3.149999999999997, 0]",1
54,"[0, 1]",208.2500000000131,"[51, 51]","[63.69999999999852, 0]","[0, 0]",1
55,"[2, 1]",120.99999999999527,"[53, 32]","[17.050000000000107, 0]","[6.549999999999985, 0]",1
56,"[0, 3]",239.55000000002022,"[54, 75]","[65.24999999999844, 0]","[0, 0]",1
57,"[0, 1]",214.25000000001447,"[56, 54]","[68.69999999999824, 0]","[0, 0]",1
58,"[2, 1]",121.29999999999525,"[55, 55]","[8.649999999999988, 0]","[0, 0]",1
59,"[2, 3]",157.00000000000145,"[58, 36]","[9.45, 0]","[0, 0]",1
60,"[0, 3]",245.50000000002157,"[57, 56]","[69.4999999999982, 0]","[0, 0]",1
61,"[2, 1]",133.64999999999614,"[59, 38]","[8.949999999999992, 0]","[0, 0]",1
62,"[2, 1]",141.69999999999797,"[61, 40]","[11.60000000000003, 0]","[0, 0]",1
63,"[0, 1]",217.9500000000153,"[60, 57]","[69.69999999999818, 0]","[0, 0]",1
64,"[0, 1]",221.75000000001617,"[63, 63]","[72.54999999999802, 0]","[0, 0]",1
65,"[0, 1]",225.50000000001702,"[64, 64]","[77.04999999999777, 0]","[0, 0]",1
66,"[2, 1]",146.6999999999991,"[62, 44]","[11.350000000000026, 0]","[0, 0]",1
