Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
8,"[2, 3]",37.80000000000031,"[-999, -999]","[0, 0]","[0, 0]",1
12,"[0, 3]",41.220000000000844,"[-999, 8]","[0, 0]","[0, 0]",1
1,"[0, 1]",34.83999999999985,"[12, -999]","[0, 0]","[0, 0]",1
14,"[2, 3]",42.760000000001085,"[8, 12]","[0, 0]","[0, 0]",1
7,"[0, 3]",45.440000000001504,"[1, 14]","[0, 0]","[0, 0]",1
6,"[2, 3]",48.12000000000192,"[14, 7]","[1.1200000000000006, 0]","[1.1200000000000006, 0]",1
9,"[0, 3]",50.760000000002336,"[7, 6]","[1.1400000000000006, 0]","[1.1400000000000006, 0]",1
2,"[0, 3]",53.34000000000274,"[9, 9]","[0, 0]","[0, 0]",1
0,"[2, 1]",38.020000000000344,"[6, 1]","[0, 0]","[0, 0]",1
3,"[0, 3]",54.56000000000293,"[2, 2]","[0, 0]","[0, 0]",1
11,"[2, 1]",39.52000000000058,"[0, 0]","[0, 0]","[0, 0]",1
10,"[0, 1]",47.48000000000182,"[3, 11]","[0, 0]","[0, 0]",1
4,"[2, 3]",54.44000000000291,"[11, 3]","[1.9000000000000012, 0]","[1.9000000000000012, 0]",1
13,"[0, 3]",57.020000000003314,"[10, 4]","[0, 0]","[0, 0]",1
5,"[2, 1]",47.60000000000184,"[4, 10]","[0, 0]","[0, 0]",1
7,"[0, 3]",37.80000000000031,"[-999, -999]","[0, 0]","[0, 0]",2
3,"[0, 1]",36.740000000000144,"[7, 5]","[0, 0]","[0, 0]",2
5,"[2, 1]",31.39999999999942,"[-999, -999]","[0, 0]","[0, 0]",2
1,"[0, 3]",46.12000000000161,"[3, 14]","[0.5800000000000002, 0]","[0.5800000000000002, 0]",2
14,"[2, 3]",39.6600000000006,"[5, 7]","[0, 0]","[0, 0]",2
4,"[0, 1]",40.400000000000716,"[1, 3]","[0, 0]","[0, 0]",2
8,"[2, 3]",46.74000000000171,"[14, 1]","[1.2000000000000006, 0]","[1.2000000000000006, 0]",2
11,"[2, 1]",46.46000000000166,"[8, 12]","[1.4600000000000009, 0.02]","[1.4600000000000009, 0]",2
12,"[0, 1]",40.520000000000735,"[4, 4]","[0, 0]","[0, 0]",2
10,"[2, 3]",49.56000000000215,"[11, 8]","[0, 0]","[0, 0]",2
9,"[0, 1]",46.52000000000167,"[12, 11]","[1.540000000000001, 0]","[1.540000000000001, 0]",2
2,"[2, 3]",51.660000000002476,"[10, 10]","[0, 0]","[0, 0]",2
13,"[0, 3]",54.58000000000293,"[9, 2]","[0, 0]","[0, 0]",2
0,"[2, 1]",47.22000000000178,"[2, 9]","[0, 0]","[0, 0]",2
6,"[0, 3]",55.98000000000315,"[13, 13]","[0, 0]","[0, 0]",2
1,"[2, 1]",31.39999999999942,"[-999, -999]","[0, 0]","[0, 0]",3
3,"[0, 3]",37.80000000000031,"[-999, -999]","[0, 0]","[0, 0]",3
6,"[0, 1]",35.279999999999916,"[3, 1]","[0, 0]","[0, 0]",3
12,"[2, 3]",40.200000000000685,"[1, 3]","[0, 0]","[0, 0]",3
2,"[0, 1]",36.78000000000015,"[6, 6]","[0, 0]","[0, 0]",3
14,"[2, 3]",42.14000000000099,"[12, 12]","[0, 0]","[0, 0]",3
13,"[0, 1]",37.88000000000032,"[2, 2]","[0, 0]","[0, 0]",3
8,"[2, 3]",43.780000000001245,"[14, 14]","[0, 0]","[0, 0]",3
5,"[2, 3]",50.560000000002304,"[8, 4]","[1.0600000000000005, 0]","[1.0600000000000005, 0]",3
10,"[2, 1]",44.60000000000137,"[5, 13]","[0, 0]","[0, 0]",3
4,"[0, 3]",43.840000000001254,"[13, 8]","[0, 0]","[0, 0]",3
7,"[2, 3]",54.64000000000294,"[10, 11]","[0, 0]","[0, 0]",3
11,"[0, 3]",49.2600000000021,"[4, 5]","[1.700000000000001, 0]","[1.700000000000001, 0]",3
9,"[0, 1]",43.400000000001185,"[11, 10]","[0, 0]","[0, 0]",3
0,"[2, 3]",54.48000000000292,"[7, 7]","[0, 0]","[0, 0]",3
