Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.49999999999831,"[-999, 8]","[0, 0]","[0, 0]",1
2,"[0, 1]",82.44999999999746,"[1, 16]","[7.79999999999998, 0.05]","[5.849999999999987, 0]",1
3,"[2, 1]",37.05000000000003,"[0, 0]","[0.05, 0]","[0, 0]",1
4,"[2, 1]",40.699999999999825,"[3, 3]","[1.950000000000001, 0]","[0, 0]",1
5,"[2, 3]",72.949999999998,"[4, -999]","[4.149999999999993, 0]","[0, 0]",1
6,"[2, 1]",43.849999999999646,"[5, 4]","[6.399999999999985, 0]","[0, 0]",1
7,"[2, 3]",78.84999999999766,"[6, 5]","[8.599999999999987, 0]","[0, 0]",1
8,"[2, 1]",48.64999999999937,"[7, 6]","[10.85000000000002, 0]","[0, 0]",1
9,"[0, 1]",76.3499999999978,"[2, 2]","[0.05, 0]","[0, 0]",1
10,"[0, 1]",84.49999999999734,"[9, 17]","[4.499999999999992, 0]","[2.499999999999999, 0]",1
11,"[2, 3]",81.14999999999753,"[8, 7]","[10.400000000000013, 0]","[0, 0]",1
12,"[2, 3]",85.64999999999728,"[11, 11]","[12.600000000000044, 0]","[0, 0]",1
13,"[0, 1]",84.74999999999733,"[10, 10]","[1.850000000000001, 0]","[0, 0]",1
14,"[2, 1]",53.4999999999991,"[12, 1]","[13.500000000000057, 0]","[0, 0]",1
15,"[0, 3]",116.64999999999552,"[13, 19]","[3.099999999999997, 0]","[0, 0]",1
16,"[2, 1]",56.39999999999893,"[14, 14]","[14.350000000000069, 0]","[0, 0]",1
17,"[2, 1]",71.39999999999809,"[16, 9]","[22.300000000000182, 0.05]","[5.699999999999988, 0]",1
18,"[0, 1]",88.34999999999712,"[15, 20]","[3.049999999999997, 0]","[0, 0]",1
19,"[2, 3]",101.39999999999638,"[17, 12]","[25.150000000000222, 0]","[2.7499999999999982, 0]",1
20,"[2, 1]",80.79999999999755,"[19, 13]","[28.950000000000276, 0]","[0.65, 0]",1
21,"[2, 3]",114.94999999999561,"[20, 15]","[35.65000000000011, 0]","[0.05, 0]",1
22,"[0, 3]",119.29999999999536,"[18, 21]","[1.6000000000000008, 0]","[0, 0]",1
23,"[0, 3]",123.34999999999513,"[22, 22]","[4.249999999999993, 0]","[0, 0]",1
24,"[0, 3]",132.0999999999958,"[23, 31]","[9.199999999999996, 0]","[2.3499999999999996, 0]",1
25,"[0, 1]",104.09999999999623,"[24, -999]","[9.5, 0]","[0, 0]",1
26,"[2, 1]",82.64999999999745,"[21, 18]","[34.350000000000186, 0]","[0, 0]",1
27,"[0, 1]",106.54999999999609,"[25, 25]","[10.800000000000018, 0]","[0, 0]",1
28,"[0, 1]",110.29999999999588,"[27, 27]","[13.450000000000056, 0]","[0, 0]",1
29,"[0, 3]",143.9999999999985,"[28, 38]","[16.050000000000093, 0]","[0, 0]",1
30,"[0, 3]",148.74999999999957,"[29, 29]","[18.70000000000013, 0]","[0, 0]",1
31,"[2, 3]",117.69999999999546,"[26, 23]","[33.00000000000026, 0]","[0, 0]",1
32,"[2, 3]",126.29999999999497,"[31, 24]","[36.05000000000009, 0]","[3.2499999999999964, 0]",1
33,"[0, 3]",150.1999999999999,"[30, 30]","[18.65000000000013, 0]","[0, 0]",1
34,"[0, 1]",122.94999999999516,"[33, 42]","[21.300000000000168, 0]","[0, 0]",1
35,"[0, 1]",126.69999999999494,"[34, 34]","[23.900000000000205, 0]","[0, 0]",1
36,"[0, 1]",130.3999999999954,"[35, 35]","[26.550000000000242, 0]","[0, 0]",1
37,"[0, 1]",134.04999999999623,"[36, 36]","[29.20000000000028, 0]","[0, 0]",1
38,"[2, 3]",123.54999999999512,"[32, 32]","[26.650000000000244, 0]","[0, 0]",1
39,"[0, 1]",142.39999999999813,"[37, 50]","[33.40000000000024, 0.05]","[2.9499999999999975, 0]",1
40,"[2, 1]",99.09999999999651,"[38, 28]","[25.950000000000234, 0]","[0, 0]",1
41,"[2, 1]",101.49999999999638,"[40, 40]","[26.650000000000244, 0]","[0, 0]",1
42,"[2, 1]",105.74999999999613,"[41, 41]","[27.450000000000255, 0]","[0, 0]",1
43,"[2, 3]",142.2499999999981,"[42, 33]","[28.150000000000265, 0]","[0, 0]",1
44,"[0, 1]",138.99999999999736,"[39, 39]","[27.70000000000026, 0]","[0, 0]",1
45,"[0, 3]",172.10000000000488,"[44, 49]","[30.350000000000296, 0]","[0, 0]",1
46,"[0, 1]",146.94999999999916,"[45, 52]","[33.00000000000026, 0]","[0, 0]",1
47,"[2, 3]",142.49999999999815,"[43, 43]","[24.90000000000022, 0]","[0, 0]",1
48,"[0, 1]",149.19999999999968,"[46, 46]","[34.25000000000019, 0]","[0, 0]",1
49,"[2, 3]",145.59999999999886,"[47, 47]","[25.350000000000225, 0]","[0, 0]",1
50,"[2, 1]",121.29999999999525,"[49, 37]","[27.600000000000257, 0]","[0, 0]",1
51,"[0, 3]",180.35000000000676,"[48, 53]","[34.200000000000195, 0]","[0, 0]",1
52,"[2, 1]",134.04999999999623,"[50, 44]","[30.5000000000003, 0.05]","[2.25, 0]",1
53,"[2, 3]",167.90000000000393,"[52, 45]","[30.300000000000296, 0]","[0, 0]",1
54,"[0, 1]",152.0000000000003,"[51, 59]","[34.1500000000002, 0]","[0, 0]",1
55,"[0, 1]",155.65000000000114,"[54, 54]","[36.80000000000005, 0]","[0, 0]",1
56,"[0, 1]",159.35000000000198,"[55, 55]","[39.3999999999999, 0]","[0, 0]",1
57,"[0, 3]",193.05000000000965,"[56, 66]","[42.04999999999975, 0]","[0, 0]",1
58,"[0, 3]",197.7000000000107,"[57, 57]","[44.6999999999996, 0]","[0, 0]",1
59,"[2, 1]",139.6499999999975,"[53, 48]","[29.30000000000028, 0]","[0, 0]",1
60,"[0, 3]",200.50000000001134,"[58, 58]","[45.999999999999524, 0]","[0, 0]",1
61,"[0, 1]",174.10000000000534,"[60, 70]","[48.599999999999376, 0]","[0, 0]",1
62,"[2, 3]",171.90000000000484,"[59, 51]","[29.80000000000029, 0]","[0, 0]",1
63,"[0, 3]",207.60000000001295,"[61, 73]","[49.8999999999993, 0]","[0, 0]",1
64,"[0, 3]",211.55000000001385,"[63, 63]","[52.54999999999915, 0]","[0, 0]",1
65,"[0, 3]",220.90000000001598,"[64, 75]","[57.49999999999887, 0.05]","[1.900000000000001, 0]",1
66,"[2, 3]",172.50000000000497,"[62, 62]","[28.40000000000027, 0]","[0, 0]",1
67,"[0, 1]",191.25000000000924,"[65, -999]","[58.099999999998836, 0]","[0, 0]",1
68,"[0, 3]",226.6500000000173,"[67, 76]","[61.59999999999864, 0]","[0, 0]",1
69,"[0, 3]",230.15000000001808,"[68, 68]","[64.94999999999845, 0]","[0, 0]",1
70,"[2, 1]",145.3499999999988,"[66, 56]","[27.00000000000025, 0]","[0, 0]",1
71,"[0, 1]",202.00000000001168,"[69, 67]","[66.89999999999834, 0]","[0, 0]",1
72,"[0, 1]",205.75000000001253,"[71, 71]","[70.59999999999813, 0]","[0, 0]",1
