Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",103.54999999999626,"[-999, 16]","[0, 0]","[2.6999999999999984, 0]",1
1,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[0, 1]",74.24999999999793,"[0, 15]","[0, 0]","[0, 0]",1
3,"[2, 3]",70.84999999999812,"[1, 1]","[0, 0]","[0, 0]",1
4,"[2, 3]",72.74999999999801,"[3, 3]","[0, 0]","[0, 0]",1
5,"[0, 3]",111.29999999999582,"[2, 21]","[0, 0]","[0, 0]",1
6,"[2, 3]",74.29999999999792,"[4, 4]","[0, 0]","[0, 0]",1
7,"[0, 3]",111.94999999999578,"[5, 5]","[0, 0]","[0, 0]",1
8,"[2, 3]",75.69999999999784,"[6, 6]","[0, 0]","[0, 0]",1
9,"[0, 3]",112.64999999999574,"[7, 7]","[0, 0]","[0, 0]",1
10,"[0, 3]",113.59999999999569,"[9, 9]","[0, 0]","[0, 0]",1
11,"[0, 3]",114.54999999999563,"[10, 10]","[0, 0]","[0, 0]",1
12,"[0, 1]",84.89999999999732,"[11, 30]","[0, 0]","[0, 0]",1
13,"[2, 1]",41.34999999999979,"[8, -999]","[0, 0]","[0, 0]",1
14,"[0, 1]",86.09999999999725,"[12, 12]","[0, 0]","[0, 0]",1
15,"[2, 1]",43.64999999999966,"[13, 13]","[0, 0]","[0, 0]",1
16,"[2, 3]",71.54999999999808,"[15, 8]","[0, 0]","[0, 0]",1
17,"[0, 3]",117.84999999999545,"[14, 37]","[0, 0]","[0, 0]",1
18,"[0, 1]",88.29999999999713,"[17, 14]","[0, 0]","[0, 0]",1
19,"[0, 1]",89.34999999999707,"[18, 18]","[0, 0]","[0, 0]",1
20,"[2, 3]",79.69999999999762,"[16, 0]","[0.2, 0]","[0.2, 0]",1
21,"[2, 3]",81.09999999999754,"[20, 20]","[2.25, 0]","[2.25, 0]",1
22,"[0, 1]",90.499999999997,"[19, 19]","[0, 0]","[0, 0]",1
23,"[0, 3]",121.59999999999523,"[22, 39]","[0, 0]","[0, 0]",1
24,"[2, 1]",50.24999999999928,"[21, 2]","[3.5499999999999954, 0]","[2.8999999999999977, 0]",1
25,"[0, 1]",92.74999999999687,"[23, 43]","[0, 0]","[0, 0]",1
26,"[0, 3]",123.9499999999951,"[25, 23]","[0, 0]","[0, 0]",1
27,"[0, 3]",126.19999999999497,"[26, 26]","[0, 0]","[0, 0]",1
28,"[2, 1]",52.299999999999166,"[24, 24]","[3.7999999999999945, 0]","[0, 0]",1
29,"[0, 3]",127.74999999999488,"[27, 27]","[0, 0]","[0, 0]",1
30,"[2, 1]",54.09999999999906,"[28, 28]","[5.949999999999987, 0]","[0, 0]",1
31,"[0, 1]",97.84999999999658,"[29, 49]","[0, 0]","[0, 0]",1
32,"[0, 3]",130.8499999999955,"[31, 50]","[0, 0]","[0, 0]",1
33,"[0, 3]",132.04999999999578,"[32, 32]","[0, 0]","[0, 0]",1
34,"[2, 3]",95.6999999999967,"[30, 11]","[7.94999999999998, 0]","[2.1000000000000005, 0]",1
35,"[0, 1]",102.69999999999631,"[33, 31]","[0, 0]","[0, 0]",1
36,"[0, 1]",103.84999999999624,"[35, 35]","[0, 0]","[0, 0]",1
37,"[2, 3]",97.19999999999662,"[34, 34]","[7.049999999999983, 0]","[0, 0]",1
38,"[0, 1]",104.99999999999618,"[36, 36]","[0, 0]","[0, 0]",1
39,"[2, 3]",103.84999999999624,"[37, 17]","[7.89999999999998, 0]","[3.1999999999999966, 0]",1
40,"[0, 1]",105.99999999999612,"[38, 38]","[0, 0]","[0, 0]",1
41,"[0, 1]",107.04999999999606,"[40, 40]","[0, 0]","[0, 0]",1
42,"[0, 3]",138.04999999999714,"[41, 53]","[0, 0]","[0, 0]",1
43,"[2, 1]",85.69999999999727,"[39, 22]","[9.349999999999998, 0]","[6.299999999999986, 0]",1
44,"[2, 1]",91.59999999999694,"[43, 25]","[1.5500000000000007, 0]","[0, 0]",1
45,"[0, 3]",140.39999999999768,"[42, 42]","[0, 0]","[0, 0]",1
46,"[0, 1]",109.9999999999959,"[45, 59]","[0, 0]","[0, 0]",1
47,"[0, 1]",115.69999999999557,"[46, 62]","[2.499999999999999, 0]","[2.499999999999999, 0]",1
48,"[2, 1]",91.64999999999694,"[44, 44]","[0, 0]","[0, 0]",1
49,"[2, 1]",93.74999999999682,"[48, 48]","[0, 0]","[0, 0]",1
50,"[2, 3]",127.99999999999487,"[49, 29]","[0.65, 0]","[0, 0]",1
51,"[0, 3]",148.04999999999941,"[47, 66]","[0, 0]","[0, 0]",1
52,"[2, 3]",140.4999999999977,"[50, 33]","[4.94999999999999, 0]","[2.8999999999999977, 0]",1
53,"[2, 3]",141.99999999999804,"[52, 52]","[3.2499999999999964, 0]","[0, 0]",1
54,"[0, 3]",149.54999999999976,"[51, 51]","[0, 0]","[0, 0]",1
55,"[0, 1]",119.94999999999533,"[54, 47]","[0, 0]","[0, 0]",1
56,"[2, 1]",129.19999999999513,"[53, 41]","[13.70000000000006, 0]","[9.700000000000003, 0]",1
57,"[0, 3]",151.9000000000003,"[55, 67]","[0, 0]","[0, 0]",1
58,"[0, 1]",122.2999999999952,"[57, 55]","[0, 0]","[0, 0]",1
59,"[2, 1]",129.0499999999951,"[56, 56]","[3.099999999999997, 0]","[0, 0]",1
60,"[0, 1]",123.39999999999513,"[58, 58]","[0, 0]","[0, 0]",1
61,"[0, 1]",124.49999999999507,"[60, 60]","[0, 0]","[0, 0]",1
62,"[2, 1]",136.44999999999678,"[59, 46]","[2.000000000000001, 0]","[0, 0]",1
63,"[0, 3]",155.60000000000113,"[61, 70]","[0.9000000000000002, 0]","[0, 0]",1
64,"[0, 3]",157.85000000000164,"[63, 63]","[1.6000000000000008, 0]","[0, 0]",1
65,"[0, 1]",128.99999999999508,"[64, 73]","[2.0500000000000007, 0]","[0, 0]",1
66,"[2, 3]",166.4500000000036,"[62, 45]","[2.499999999999999, 0]","[0, 0]",1
67,"[2, 3]",180.30000000000675,"[66, 54]","[11.850000000000033, 0]","[6.649999999999984, 0]",1
68,"[0, 1]",129.9999999999953,"[65, 65]","[2.4499999999999993, 0]","[0, 0]",1
69,"[0, 1]",130.99999999999554,"[68, 68]","[2.799999999999998, 0]","[0, 0]",1
70,"[2, 3]",186.7500000000082,"[67, 57]","[6.649999999999984, 0]","[0, 0]",1
71,"[2, 1]",168.95000000000417,"[70, 61]","[13.900000000000063, 0]","[6.649999999999984, 0]",1
72,"[0, 1]",136.89999999999688,"[69, 74]","[5.599999999999988, 0]","[2.4499999999999993, 0]",1
73,"[2, 1]",169.5500000000043,"[71, 71]","[12.800000000000047, 0]","[0, 0]",1
74,"[2, 1]",188.4500000000086,"[73, 69]","[24.700000000000216, 0]","[9.650000000000002, 0]",1
75,"[0, 1]",143.1999999999983,"[72, 76]","[5.299999999999989, 0]","[2.1000000000000005, 0]",1
76,"[2, 1]",193.35000000000971,"[74, 72]","[18.400000000000126, 0]","[0, 0]",1
77,"[2, 1]",198.70000000001093,"[76, 75]","[20.85000000000016, 0]","[0, 0]",1
78,"[0, 1]",148.14999999999944,"[75, 77]","[5.249999999999989, 0]","[2.3999999999999995, 0]",1
79,"[0, 1]",147.24999999999923,"[78, 78]","[3.099999999999997, 0]","[0, 0]",1
0,"[0, 1]",73.89999999999795,"[-999, 10]","[0, 0]","[3.399999999999996, 0]",2
1,"[0, 1]",74.09999999999793,"[0, 0]","[0, 0]","[0, 0]",2
2,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",2
3,"[0, 1]",79.79999999999761,"[1, 11]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",2
4,"[2, 1]",37.15000000000003,"[2, -999]","[0, 0]","[0, 0]",2
5,"[2, 3]",69.99999999999817,"[4, 2]","[0, 0]","[0, 0]",2
6,"[2, 1]",37.65,"[5, 4]","[0, 0]","[0, 0]",2
7,"[2, 3]",70.64999999999813,"[6, 5]","[0, 0]","[0, 0]",2
8,"[2, 1]",38.14999999999997,"[7, 6]","[0, 0]","[0, 0]",2
9,"[2, 3]",71.04999999999811,"[8, 7]","[0, 0]","[0, 0]",2
10,"[2, 1]",38.49999999999995,"[9, 8]","[0, 0]","[0, 0]",2
11,"[2, 1]",53.04999999999912,"[10, 1]","[6.5999999999999845, 0]","[6.5999999999999845, 0]",2
12,"[0, 3]",110.04999999999589,"[3, 14]","[0, 0]","[0, 0]",2
13,"[0, 3]",112.04999999999578,"[12, 12]","[0, 0]","[0, 0]",2
14,"[2, 3]",82.09999999999748,"[11, 9]","[0, 0]","[0, 0]",2
15,"[0, 3]",118.19999999999543,"[13, 18]","[2.3999999999999995, 0]","[2.3999999999999995, 0]",2
16,"[0, 3]",118.99999999999538,"[15, 15]","[0, 0]","[0, 0]",2
17,"[2, 1]",54.799999999999024,"[14, 3]","[0, 0]","[0, 0]",2
18,"[2, 3]",92.04999999999691,"[17, 13]","[7.84999999999998, 0]","[0, 0]",2
19,"[0, 3]",124.49999999999507,"[16, 25]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",2
20,"[0, 1]",93.74999999999682,"[19, -999]","[0, 0]","[0, 0]",2
21,"[0, 1]",94.89999999999675,"[20, 20]","[0, 0]","[0, 0]",2
22,"[0, 3]",128.04999999999487,"[21, 27]","[0, 0]","[0, 0]",2
23,"[2, 1]",60.79999999999868,"[18, 17]","[14.600000000000072, 0]","[0.05, 0]",2
24,"[0, 1]",98.54999999999654,"[22, 21]","[0, 0]","[0, 0]",2
25,"[2, 3]",99.2499999999965,"[23, 16]","[14.300000000000068, 0]","[0, 0]",2
26,"[2, 3]",105.29999999999616,"[25, 19]","[15.200000000000081, 0]","[3.1999999999999966, 0]",2
27,"[2, 3]",106.99999999999606,"[26, 26]","[10.25000000000001, 0]","[0, 0]",2
28,"[2, 3]",113.94999999999567,"[27, 22]","[8.699999999999989, 0]","[0, 0]",2
29,"[2, 3]",120.89999999999527,"[28, 31]","[10.650000000000016, 0]","[3.399999999999996, 0]",2
30,"[2, 3]",138.14999999999716,"[29, 40]","[15.300000000000082, 0]","[9.55, 0]",2
31,"[0, 3]",130.3499999999954,"[24, 28]","[0, 0]","[0, 0]",2
32,"[2, 1]",108.74999999999596,"[30, 42]","[4.299999999999993, 0]","[0, 0]",2
33,"[0, 1]",100.9999999999964,"[31, 24]","[0, 0]","[0, 0]",2
34,"[2, 1]",117.49999999999547,"[32, 44]","[6.149999999999986, 0]","[3.2999999999999963, 0]",2
35,"[2, 1]",118.49999999999541,"[34, 34]","[2.499999999999999, 0]","[0, 0]",2
36,"[2, 1]",126.64999999999495,"[35, 53]","[2.5999999999999988, 0]","[0, 0]",2
37,"[0, 3]",133.049999999996,"[33, 29]","[0, 0]","[0, 0]",2
38,"[2, 1]",127.14999999999492,"[36, 36]","[4.099999999999993, 0]","[0, 0]",2
39,"[0, 3]",134.2999999999963,"[37, 37]","[0, 0]","[0, 0]",2
40,"[0, 3]",135.39999999999654,"[39, 39]","[0, 0]","[0, 0]",2
41,"[2, 3]",160.85000000000232,"[38, 58]","[7.149999999999983, 0]","[0, 0]",2
42,"[0, 1]",106.19999999999611,"[40, -999]","[0, 0]","[0, 0]",2
43,"[0, 3]",138.39999999999722,"[42, 30]","[0, 0]","[0, 0]",2
44,"[0, 1]",109.24999999999594,"[43, 32]","[0, 0]","[0, 0]",2
45,"[2, 3]",163.15000000000285,"[41, 41]","[13.850000000000062, 0]","[0, 0]",2
46,"[2, 1]",137.8999999999971,"[45, 66]","[17.700000000000117, 0]","[0, 0]",2
47,"[2, 3]",168.00000000000395,"[46, 45]","[21.300000000000168, 0]","[0, 0]",2
48,"[2, 3]",176.40000000000586,"[47, 71]","[23.900000000000205, 0]","[0, 0]",2
49,"[0, 3]",140.29999999999765,"[44, 43]","[0, 0]","[0, 0]",2
50,"[0, 3]",142.54999999999816,"[49, 49]","[0, 0]","[0, 0]",2
51,"[2, 3]",183.10000000000738,"[48, 73]","[25.450000000000227, 0]","[0, 0]",2
52,"[2, 1]",151.4500000000002,"[51, -999]","[24.650000000000215, 0]","[0, 0]",2
53,"[0, 1]",114.14999999999566,"[50, 35]","[0, 0]","[0, 0]",2
54,"[2, 1]",154.2000000000008,"[52, 52]","[23.200000000000195, 0]","[0, 0]",2
55,"[0, 3]",144.8499999999987,"[53, 50]","[0, 0]","[0, 0]",2
56,"[2, 3]",191.1000000000092,"[54, 79]","[27.350000000000254, 0]","[0, 0]",2
57,"[2, 1]",159.30000000000197,"[56, 54]","[27.600000000000257, 0]","[0, 0]",2
58,"[0, 3]",147.0499999999992,"[55, 55]","[0, 0]","[0, 0]",2
59,"[2, 3]",192.3500000000095,"[57, 56]","[28.650000000000272, 0]","[0, 0]",2
60,"[2, 3]",195.35000000001017,"[59, 59]","[30.00000000000029, 0]","[0, 0]",2
61,"[2, 3]",197.85000000001074,"[60, 60]","[31.750000000000316, 0]","[0, 0]",2
62,"[0, 1]",118.04999999999544,"[58, 38]","[0, 0]","[0, 0]",2
63,"[0, 1]",119.04999999999538,"[62, 62]","[0, 0]","[0, 0]",2
64,"[2, 1]",168.50000000000406,"[61, -999]","[34.30000000000019, 0]","[0, 0]",2
65,"[2, 3]",202.30000000001175,"[64, 61]","[37.350000000000016, 0]","[0, 0]",2
66,"[0, 1]",120.04999999999532,"[63, 63]","[0, 0]","[0, 0]",2
67,"[0, 1]",125.54999999999501,"[66, 46]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",2
68,"[2, 1]",174.25000000000537,"[65, 64]","[40.14999999999986, 0]","[0, 0]",2
69,"[2, 1]",176.70000000000593,"[68, 68]","[44.44999999999961, 0]","[0, 0]",2
70,"[2, 1]",178.10000000000625,"[69, 69]","[48.49999999999938, 0]","[0, 0]",2
71,"[0, 3]",157.40000000000154,"[67, 47]","[0, 0]","[0, 0]",2
72,"[2, 3]",210.25000000001356,"[70, 65]","[51.29999999999922, 0]","[0, 0]",2
73,"[0, 3]",164.2500000000031,"[71, 48]","[2.2, 0]","[2.2, 0]",2
74,"[0, 3]",169.9500000000044,"[73, 51]","[2.3499999999999996, 0]","[2.3499999999999996, 0]",2
75,"[2, 1]",181.10000000000693,"[72, 70]","[51.89999999999919, 0]","[0, 0]",2
76,"[0, 3]",170.65000000000455,"[74, 74]","[0, 0]","[0, 0]",2
77,"[2, 3]",187.45000000000837,"[75, 72]","[33.75000000000022, 0]","[0, 0]",2
78,"[2, 3]",190.200000000009,"[77, 77]","[35.00000000000015, 0]","[0, 0]",2
79,"[0, 3]",171.2500000000047,"[76, 76]","[0, 0]","[0, 0]",2
0,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",3
1,"[0, 3]",105.74999999999613,"[-999, 19]","[0, 0]","[2.9499999999999975, 0]",3
2,"[2, 1]",38.09999999999997,"[0, 0]","[0, 0]","[0, 0]",3
3,"[0, 3]",107.64999999999603,"[1, 1]","[0, 0]","[0, 0]",3
4,"[0, 3]",108.74999999999596,"[3, 3]","[0, 0]","[0, 0]",3
5,"[2, 1]",39.89999999999987,"[2, 2]","[0, 0]","[0, 0]",3
6,"[0, 3]",109.7999999999959,"[4, 4]","[0, 0]","[0, 0]",3
7,"[0, 1]",80.19999999999759,"[6, 22]","[0, 0]","[0, 0]",3
8,"[0, 1]",81.34999999999752,"[7, 7]","[0, 0]","[0, 0]",3
9,"[2, 1]",41.79999999999976,"[5, 5]","[0, 0]","[0, 0]",3
10,"[0, 1]",87.34999999999718,"[8, 27]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",3
11,"[2, 3]",69.79999999999818,"[9, -999]","[0, 0]","[0, 0]",3
12,"[2, 1]",41.1499999999998,"[11, 9]","[0, 0]","[0, 0]",3
13,"[0, 1]",93.64999999999682,"[10, 29]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",3
14,"[2, 1]",42.999999999999694,"[12, 12]","[0, 0]","[0, 0]",3
15,"[0, 1]",98.74999999999653,"[13, 31]","[2.3, 0]","[2.3, 0]",3
16,"[0, 1]",98.09999999999657,"[15, 15]","[0, 0]","[0, 0]",3
17,"[2, 3]",70.69999999999813,"[14, 11]","[0, 0]","[0, 0]",3
18,"[0, 3]",131.89999999999574,"[16, 35]","[0, 0]","[0, 0]",3
19,"[2, 3]",73.09999999999799,"[17, 17]","[0, 0]","[0, 0]",3
20,"[2, 1]",42.9499999999997,"[19, 14]","[0, 0]","[0, 0]",3
21,"[2, 1]",44.29999999999962,"[20, 20]","[0, 0]","[0, 0]",3
22,"[2, 1]",45.54999999999955,"[21, 21]","[0, 0]","[0, 0]",3
23,"[2, 3]",84.64999999999733,"[22, 6]","[6.699999999999984, 0]","[6.699999999999984, 0]",3
24,"[0, 3]",138.2999999999972,"[18, 38]","[3.649999999999995, 0]","[2.8999999999999977, 0]",3
25,"[0, 3]",143.9999999999985,"[24, 40]","[3.5499999999999954, 0]","[2.2, 0]",3
26,"[0, 1]",112.54999999999575,"[25, -999]","[1.5000000000000007, 0]","[0, 0]",3
27,"[2, 1]",61.59999999999864,"[23, 8]","[3.1999999999999966, 0]","[3.1999999999999966, 0]",3
28,"[0, 3]",145.3499999999988,"[26, 42]","[1.5500000000000007, 0]","[0, 0]",3
29,"[2, 1]",66.59999999999836,"[27, 10]","[3.2499999999999964, 0]","[0, 0]",3
30,"[0, 3]",150.49999999999997,"[28, 43]","[3.949999999999994, 0]","[2.3999999999999995, 0]",3
31,"[2, 1]",71.74999999999807,"[29, 13]","[14.45000000000007, 0]","[0, 0]",3
32,"[0, 1]",121.04999999999526,"[30, 47]","[1.4000000000000006, 0]","[0, 0]",3
33,"[2, 3]",102.64999999999631,"[31, 23]","[25.950000000000234, 0]","[0.05, 0]",3
34,"[0, 1]",121.19999999999526,"[32, 32]","[1.2000000000000004, 0]","[0, 0]",3
35,"[2, 3]",105.64999999999614,"[33, 33]","[23.6000000000002, 0]","[0, 0]",3
36,"[0, 3]",152.0000000000003,"[34, 49]","[1.7000000000000008, 0]","[0, 0]",3
37,"[0, 1]",123.64999999999512,"[36, 53]","[3.4999999999999956, 0]","[0, 0]",3
38,"[2, 3]",113.09999999999572,"[35, 18]","[21.850000000000176, 0]","[0, 0]",3
39,"[0, 1]",124.69999999999506,"[37, 37]","[3.4499999999999957, 0]","[0, 0]",3
40,"[2, 3]",119.54999999999535,"[38, 24]","[20.300000000000153, 0]","[0, 0]",3
41,"[0, 3]",155.8500000000012,"[39, 55]","[2.9999999999999973, 0]","[0, 0]",3
42,"[2, 3]",125.49999999999501,"[40, 25]","[18.800000000000132, 0]","[0, 0]",3
43,"[2, 3]",131.14999999999557,"[42, 28]","[17.30000000000011, 0]","[0, 0]",3
44,"[0, 3]",157.95000000000167,"[41, 41]","[2.3999999999999995, 0]","[0, 0]",3
45,"[0, 1]",128.54999999999498,"[44, 60]","[1.850000000000001, 0]","[0, 0]",3
46,"[0, 3]",161.25000000000242,"[45, 62]","[1.2000000000000004, 0]","[0, 0]",3
47,"[2, 1]",99.04999999999652,"[43, 26]","[15.85000000000009, 0]","[0, 0]",3
48,"[0, 1]",131.94999999999575,"[46, 45]","[0.6, 0]","[0, 0]",3
49,"[2, 3]",133.64999999999614,"[47, 30]","[14.40000000000007, 0]","[0, 0]",3
50,"[0, 1]",132.999999999996,"[48, 48]","[0, 0]","[0, 0]",3
51,"[0, 1]",138.64999999999728,"[50, 67]","[2.4499999999999993, 0]","[2.4499999999999993, 0]",3
52,"[0, 3]",170.4500000000045,"[51, 69]","[0, 0]","[0, 0]",3
53,"[2, 1]",108.59999999999597,"[49, 34]","[12.900000000000048, 0]","[0, 0]",3
54,"[0, 1]",141.3999999999979,"[52, 51]","[0, 0]","[0, 0]",3
55,"[2, 3]",141.19999999999786,"[53, 36]","[12.500000000000043, 0]","[0, 0]",3
56,"[0, 3]",173.40000000000518,"[54, 71]","[1.850000000000001, 0]","[0, 0]",3
57,"[0, 1]",144.54999999999862,"[56, 72]","[2.549999999999999, 0]","[0, 0]",3
58,"[2, 1]",117.29999999999548,"[55, 39]","[12.35000000000004, 0]","[0, 0]",3
59,"[0, 1]",145.44999999999882,"[57, 57]","[2.9999999999999973, 0]","[0, 0]",3
60,"[2, 1]",117.39999999999547,"[58, 58]","[11.700000000000031, 0]","[0, 0]",3
61,"[0, 3]",178.90000000000643,"[59, 75]","[3.399999999999996, 0]","[0, 0]",3
62,"[2, 3]",151.65000000000023,"[60, 44]","[10.95000000000002, 0]","[0, 0]",3
63,"[2, 3]",159.30000000000197,"[62, 46]","[13.05000000000005, 0]","[3.1999999999999966, 0]",3
64,"[0, 1]",150.1499999999999,"[61, 78]","[3.699999999999995, 0]","[0, 0]",3
65,"[0, 3]",180.5000000000068,"[64, 61]","[3.699999999999995, 0]","[0, 0]",3
66,"[0, 3]",182.50000000000725,"[65, 65]","[3.149999999999997, 0]","[0, 0]",3
67,"[2, 1]",135.49999999999656,"[63, 50]","[10.650000000000016, 0]","[0, 0]",3
68,"[0, 3]",183.2000000000074,"[66, 66]","[1.7000000000000008, 0]","[0, 0]",3
69,"[2, 3]",165.1500000000033,"[67, 63]","[10.20000000000001, 0]","[0, 0]",3
70,"[0, 1]",145.99999999999895,"[68, 79]","[0, 0]","[0, 0]",3
71,"[2, 3]",173.5500000000052,"[69, 52]","[10.050000000000008, 0]","[0, 0]",3
72,"[2, 1]",144.0499999999985,"[71, 54]","[10.550000000000015, 0]","[0, 0]",3
73,"[0, 1]",142.34999999999812,"[70, 70]","[0, 0]","[0, 0]",3
74,"[2, 3]",177.75000000000617,"[72, 56]","[12.050000000000036, 0]","[0, 0]",3
75,"[2, 3]",180.0500000000067,"[74, 74]","[13.400000000000055, 0]","[0, 0]",3
76,"[0, 1]",137.99999999999713,"[73, 73]","[0.5499999999999999, 0]","[0, 0]",3
77,"[0, 1]",138.2999999999972,"[76, 76]","[1.0500000000000003, 0]","[0, 0]",3
78,"[2, 1]",150.80000000000004,"[75, 59]","[16.000000000000092, 0]","[0, 0]",3
79,"[2, 1]",159.20000000000195,"[78, 64]","[20.10000000000015, 0]","[0, 0]",3
0,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",4
