Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.44999999999831,"[-999, 6]","[0, 0]","[0, 0]",1
1,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 3]",68.94999999999823,"[1, -999]","[0.44999999999999996, 0]","[0, 0]",1
3,"[0, 1]",67.99999999999828,"[0, 0]","[0.05, 0]","[0, 0]",1
4,"[2, 1]",36.75000000000005,"[2, 1]","[0.05, 0]","[0, 0]",1
5,"[0, 3]",98.19999999999656,"[3, 11]","[0.05, 0]","[0, 0]",1
6,"[2, 1]",36.80000000000005,"[4, 4]","[0.05, 0]","[0, 0]",1
7,"[2, 3]",69.79999999999818,"[6, 2]","[0.44999999999999996, 0]","[0, 0]",1
8,"[2, 3]",73.24999999999798,"[7, 7]","[1.3000000000000005, 0]","[0, 0]",1
9,"[0, 1]",67.79999999999829,"[5, 3]","[0.05, 0]","[0, 0]",1
10,"[0, 3]",107.29999999999605,"[9, 21]","[3.999999999999994, 0.05]","[3.4499999999999957, 0]",1
11,"[2, 3]",70.59999999999813,"[8, 8]","[0.05, 0]","[0, 0]",1
12,"[0, 3]",112.09999999999577,"[10, 22]","[2.2, 0]","[2.1500000000000004, 0]",1
13,"[0, 3]",113.99999999999567,"[12, 12]","[0.7500000000000001, 0]","[0, 0]",1
14,"[0, 1]",93.54999999999683,"[13, 30]","[8.449999999999985, 0.05]","[6.499999999999985, 0]",1
15,"[0, 3]",123.29999999999514,"[14, 13]","[3.1999999999999966, 0]","[0, 0]",1
16,"[0, 3]",126.84999999999494,"[15, 15]","[4.399999999999992, 0]","[0, 0]",1
17,"[0, 1]",100.39999999999644,"[16, 33]","[5.649999999999988, 0]","[0, 0]",1
18,"[2, 3]",69.4999999999982,"[11, 5]","[0.05, 0]","[0, 0]",1
19,"[2, 1]",46.89999999999947,"[18, 9]","[3.149999999999997, 0.05]","[2.6999999999999984, 0]",1
20,"[0, 3]",128.649999999995,"[17, 34]","[1.3500000000000005, 0]","[0, 0]",1
21,"[2, 3]",70.29999999999815,"[19, 18]","[0.05, 0]","[0, 0]",1
22,"[2, 3]",79.64999999999762,"[21, 10]","[1.1500000000000004, 0.05]","[0.65, 0]",1
23,"[0, 3]",125.749999999995,"[20, 20]","[0.05, 0]","[0, 0]",1
24,"[0, 3]",132.999999999996,"[23, 39]","[2.9999999999999973, 0]","[2.3499999999999996, 0]",1
25,"[0, 1]",103.59999999999626,"[24, -999]","[1.800000000000001, 0]","[0, 0]",1
26,"[2, 1]",37.10000000000003,"[22, 19]","[0.05, 0]","[0, 0]",1
27,"[0, 1]",103.24999999999628,"[25, 25]","[0.25, 0]","[0, 0]",1
28,"[2, 1]",36.90000000000004,"[26, 26]","[0.05, 0]","[0, 0]",1
29,"[2, 1]",39.14999999999991,"[28, 28]","[0.44999999999999996, 0]","[0, 0]",1
30,"[2, 1]",41.84999999999976,"[29, 29]","[1.3000000000000005, 0]","[0, 0]",1
31,"[0, 3]",127.5499999999949,"[27, 42]","[0.05, 0]","[0, 0]",1
32,"[2, 1]",48.099999999999405,"[30, 14]","[3.4499999999999957, 0]","[3.399999999999996, 0]",1
33,"[2, 1]",50.549999999999265,"[32, 32]","[0.5499999999999999, 0]","[0, 0]",1
34,"[2, 3]",84.19999999999736,"[33, 16]","[1.4000000000000006, 0]","[0, 0]",1
35,"[2, 1]",56.39999999999893,"[34, 17]","[7.699999999999981, 0]","[0, 0]",1
36,"[0, 1]",89.44999999999706,"[31, 43]","[0.05, 0]","[0, 0]",1
37,"[0, 1]",91.79999999999693,"[36, 36]","[0.5499999999999999, 0]","[0, 0]",1
38,"[0, 1]",98.49999999999655,"[37, 50]","[4.149999999999993, 0]","[2.4499999999999993, 0]",1
39,"[2, 3]",86.84999999999721,"[35, 23]","[0.05, 0]","[0, 0]",1
40,"[0, 3]",127.09999999999492,"[38, 49]","[0.15000000000000002, 0]","[0, 0]",1
41,"[0, 3]",130.64999999999546,"[40, 40]","[1.3500000000000005, 0]","[0, 0]",1
42,"[2, 3]",88.29999999999713,"[39, 24]","[0.05, 0]","[0, 0]",1
43,"[2, 1]",65.24999999999844,"[42, 27]","[3.649999999999995, 0]","[3.1999999999999966, 0]",1
44,"[0, 1]",97.89999999999658,"[41, 51]","[0.05, 0]","[0, 0]",1
45,"[0, 3]",130.89999999999552,"[44, 53]","[0.65, 0]","[0, 0]",1
46,"[0, 1]",103.24999999999628,"[45, 54]","[1.800000000000001, 0]","[0, 0]",1
47,"[0, 1]",105.49999999999615,"[46, 46]","[2.9999999999999973, 0]","[0, 0]",1
48,"[0, 3]",137.74999999999707,"[47, 45]","[4.199999999999993, 0]","[0, 0]",1
49,"[2, 3]",84.64999999999733,"[43, 31]","[0.05, 0]","[0, 0]",1
50,"[2, 1]",61.49999999999864,"[49, 37]","[0.44999999999999996, 0]","[0, 0]",1
51,"[2, 1]",67.6999999999983,"[50, 38]","[1.2500000000000004, 0]","[0, 0]",1
52,"[0, 3]",132.999999999996,"[48, 48]","[0.05, 0]","[0, 0]",1
53,"[2, 3]",103.29999999999627,"[51, 41]","[0.05, 0]","[0, 0]",1
54,"[2, 1]",75.09999999999788,"[53, 44]","[16.150000000000095, 0]","[0, 0]",1
55,"[0, 3]",130.3499999999954,"[52, 52]","[0.05, 0]","[0, 0]",1
56,"[0, 3]",138.14999999999716,"[55, 59]","[2.9999999999999973, 0]","[2.3999999999999995, 0]",1
