Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.39999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[0, 1]",70.09999999999816,"[1, 1]","[0, 0]","[0, 0]",1
3,"[2, 3]",70.84999999999812,"[0, 0]","[0, 0]","[0, 0]",1
4,"[0, 1]",71.2999999999981,"[2, 2]","[0, 0]","[0, 0]",1
5,"[0, 1]",72.04999999999805,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 3]",72.69999999999801,"[3, 3]","[0, 0]","[0, 0]",1
7,"[0, 1]",72.49999999999802,"[5, 5]","[0, 0]","[0, 0]",1
8,"[0, 1]",72.949999999998,"[7, 7]","[0, 0]","[0, 0]",1
9,"[0, 1]",73.14999999999799,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 1]",73.39999999999797,"[9, 9]","[0, 0]","[0, 0]",1
11,"[0, 1]",73.89999999999795,"[10, 10]","[0, 0]","[0, 0]",1
12,"[0, 1]",74.54999999999791,"[11, 11]","[0, 0]","[0, 0]",1
13,"[2, 3]",71.2999999999981,"[6, 6]","[0, 0]","[0, 0]",1
14,"[0, 1]",75.49999999999785,"[12, 12]","[0, 0]","[0, 0]",1
15,"[2, 3]",73.049999999998,"[13, 13]","[0, 0]","[0, 0]",1
16,"[2, 3]",74.44999999999791,"[15, 15]","[0, 0]","[0, 0]",1
17,"[2, 3]",75.74999999999784,"[16, 16]","[0, 0]","[0, 0]",1
18,"[2, 3]",76.99999999999777,"[17, 17]","[0, 0]","[0, 0]",1
19,"[0, 1]",76.59999999999779,"[14, 14]","[0, 0]","[0, 0]",1
20,"[2, 3]",78.1499999999977,"[18, 18]","[0, 0]","[0, 0]",1
21,"[2, 3]",79.29999999999764,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 1]",77.69999999999773,"[19, 19]","[0, 0]","[0, 0]",1
23,"[0, 1]",78.69999999999767,"[22, 22]","[0, 0]","[0, 0]",1
24,"[0, 1]",79.69999999999762,"[23, 23]","[0, 0]","[0, 0]",1
25,"[0, 1]",80.69999999999756,"[24, 24]","[0, 0]","[0, 0]",1
26,"[0, 1]",81.7999999999975,"[25, 25]","[0, 0]","[0, 0]",1
27,"[0, 1]",82.74999999999744,"[26, 26]","[0, 0]","[0, 0]",1
28,"[0, 1]",83.74999999999739,"[27, 27]","[0, 0]","[0, 0]",1
29,"[0, 1]",84.84999999999732,"[28, 28]","[0, 0]","[0, 0]",1
30,"[2, 3]",80.54999999999757,"[21, 21]","[0, 0]","[0, 0]",1
31,"[0, 1]",85.89999999999726,"[29, 29]","[0, 0]","[0, 0]",1
32,"[0, 1]",86.8999999999972,"[31, 31]","[0, 0]","[0, 0]",1
33,"[2, 3]",82.19999999999747,"[30, 30]","[0, 0]","[0, 0]",1
34,"[2, 3]",84.34999999999735,"[33, 33]","[0, 0]","[0, 0]",1
35,"[2, 3]",86.54999999999723,"[34, 34]","[5.899999999999987, 0]","[0, 0]",1
36,"[2, 3]",88.8499999999971,"[35, 35]","[8.699999999999989, 0]","[0, 0]",1
37,"[2, 3]",91.19999999999696,"[36, 36]","[6.349999999999985, 0]","[0, 0]",1
38,"[0, 1]",87.89999999999715,"[32, 32]","[0, 0]","[0, 0]",1
39,"[2, 3]",93.44999999999683,"[37, 37]","[4.599999999999992, 0]","[0, 0]",1
