Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 3]",100.74999999999642,"[-999, 17]","[0, 0]","[0, 0]",1
2,"[0, 1]",73.64999999999796,"[1, 19]","[1.950000000000001, 0]","[0, 0]",1
3,"[0, 3]",108.34999999999599,"[2, 21]","[4.499999999999992, 0]","[0, 0]",1
4,"[0, 3]",111.89999999999579,"[3, 3]","[7.099999999999983, 0]","[0, 0]",1
5,"[0, 1]",83.89999999999738,"[4, 25]","[9.700000000000003, 0]","[0, 0]",1
6,"[2, 1]",36.500000000000064,"[0, -999]","[0.05, 0]","[0, 0]",1
7,"[2, 3]",70.69999999999813,"[6, 0]","[1.850000000000001, 0]","[0, 0]",1
8,"[0, 1]",84.44999999999735,"[5, 5]","[9.600000000000001, 0]","[0, 0]",1
9,"[2, 1]",41.79999999999976,"[7, 6]","[2.6999999999999984, 0]","[0, 0]",1
10,"[0, 3]",117.19999999999548,"[8, 26]","[10.90000000000002, 0]","[0, 0]",1
11,"[2, 3]",73.39999999999797,"[9, 7]","[3.599999999999995, 0]","[0, 0]",1
12,"[0, 3]",120.5499999999953,"[10, 10]","[12.200000000000038, 0]","[0, 0]",1
13,"[0, 1]",94.49999999999677,"[12, 27]","[14.800000000000075, 0]","[0, 0]",1
14,"[0, 3]",129.14999999999512,"[13, 28]","[17.450000000000113, 0]","[0, 0]",1
15,"[0, 1]",102.7999999999963,"[14, 29]","[20.10000000000015, 0]","[0, 0]",1
16,"[2, 1]",40.59999999999983,"[11, 9]","[0.39999999999999997, 0]","[0, 0]",1
17,"[2, 3]",72.949999999998,"[16, 11]","[2.6499999999999986, 0]","[0, 0]",1
18,"[0, 1]",103.69999999999625,"[15, 15]","[20.05000000000015, 0]","[0, 0]",1
19,"[2, 1]",44.399999999999615,"[17, 16]","[3.5499999999999954, 0]","[0, 0]",1
20,"[0, 1]",105.99999999999612,"[18, 18]","[21.300000000000168, 0]","[0, 0]",1
21,"[2, 3]",78.99999999999766,"[19, 1]","[4.399999999999992, 0]","[0, 0]",1
22,"[2, 1]",51.39999999999922,"[21, 2]","[6.649999999999984, 0]","[0, 0]",1
23,"[0, 3]",140.34999999999766,"[20, 35]","[21.250000000000167, 0]","[0, 0]",1
24,"[0, 3]",144.24999999999855,"[23, 23]","[23.900000000000205, 0]","[0, 0]",1
