Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 3]",107.29999999999605,"[-999, 21]","[0, 0]","[5.449999999999989, 0]",1
1,"[0, 1]",84.94999999999732,"[0, 25]","[5.09999999999999, 0]","[3.149999999999997, 0]",1
2,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
3,"[0, 3]",121.14999999999526,"[1, 28]","[5.599999999999988, 0]","[2.4499999999999993, 0]",1
4,"[0, 1]",93.24999999999685,"[3, 30]","[5.749999999999988, 0]","[0, 0]",1
5,"[2, 3]",68.09999999999827,"[2, -999]","[0.05, 0]","[0, 0]",1
6,"[0, 3]",127.14999999999492,"[4, 31]","[6.999999999999983, 0]","[0, 0]",1
7,"[0, 1]",99.99999999999646,"[6, 4]","[9.600000000000001, 0]","[0, 0]",1
8,"[0, 3]",134.89999999999642,"[7, 35]","[12.250000000000039, 0]","[0, 0]",1
9,"[0, 3]",138.6999999999973,"[8, 8]","[14.900000000000077, 0]","[0, 0]",1
10,"[0, 1]",111.5999999999958,"[9, 38]","[17.500000000000114, 0]","[0, 0]",1
11,"[2, 3]",68.84999999999823,"[5, 5]","[0.05, 0]","[0, 0]",1
12,"[2, 3]",73.44999999999797,"[11, 11]","[1.850000000000001, 0]","[0, 0]",1
13,"[0, 3]",143.69999999999843,"[10, 39]","[17.450000000000113, 0]","[0, 0]",1
14,"[2, 1]",44.14999999999963,"[12, -999]","[2.6999999999999984, 0]","[0, 0]",1
15,"[0, 3]",146.249999999999,"[13, 13]","[18.75000000000013, 0]","[0, 0]",1
16,"[0, 3]",150.1499999999999,"[15, 15]","[21.40000000000017, 0]","[0, 0]",1
17,"[0, 3]",153.90000000000074,"[16, 16]","[24.000000000000206, 0]","[0, 0]",1
18,"[2, 3]",72.04999999999805,"[14, 12]","[0.9000000000000002, 0]","[0, 0]",1
19,"[0, 1]",128.84999999999505,"[17, 44]","[25.300000000000225, 0]","[0, 0]",1
20,"[0, 1]",131.44999999999564,"[19, 19]","[27.950000000000262, 0]","[0, 0]",1
21,"[2, 3]",73.49999999999797,"[18, 18]","[0.39999999999999997, 0]","[0, 0]",1
22,"[0, 1]",137.94999999999712,"[20, 49]","[31.600000000000314, 0]","[2.3499999999999996, 0]",1
23,"[2, 1]",43.99999999999964,"[21, 14]","[1.3000000000000005, 0]","[0, 0]",1
24,"[0, 1]",145.59999999999886,"[22, 50]","[33.25000000000025, 0.05]","[2.7499999999999982, 0]",1
25,"[2, 1]",46.349999999999504,"[23, 23]","[2.2, 0]","[0, 0]",1
26,"[2, 3]",79.34999999999764,"[25, 0]","[4.399999999999992, 0]","[0, 0]",1
27,"[0, 3]",173.85000000000528,"[24, 47]","[30.450000000000298, 0]","[0, 0]",1
28,"[2, 3]",82.34999999999746,"[26, 26]","[5.299999999999989, 0]","[0, 0]",1
29,"[0, 3]",177.55000000000612,"[27, 27]","[31.750000000000316, 0]","[0, 0]",1
30,"[2, 1]",53.4999999999991,"[28, 1]","[6.149999999999986, 0]","[0, 0]",1
31,"[2, 3]",88.44999999999712,"[30, 3]","[8.399999999999984, 0]","[0, 0]",1
32,"[0, 1]",148.49999999999952,"[29, 54]","[31.650000000000315, 0]","[0, 0]",1
