Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 1]",36.40000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.39999999999831,"[-999, 6]","[0, 0]","[0, 0]",1
2,"[2, 1]",38.09999999999997,"[0, 0]","[0, 0]","[0, 0]",1
3,"[2, 1]",39.89999999999987,"[2, 2]","[0, 0]","[0, 0]",1
4,"[2, 3]",69.24999999999821,"[3, -999]","[0, 0]","[0, 0]",1
5,"[0, 3]",99.99999999999646,"[1, 15]","[0, 0]","[0, 0]",1
6,"[2, 1]",37.74999999999999,"[4, 3]","[0, 0]","[0, 0]",1
7,"[0, 1]",78.84999999999766,"[5, 20]","[2.799999999999998, 0]","[2.799999999999998, 0]",1
8,"[2, 3]",70.44999999999814,"[6, 4]","[0, 0]","[0, 0]",1
9,"[0, 1]",78.2499999999977,"[7, 7]","[0, 0]","[0, 0]",1
10,"[0, 3]",108.84999999999596,"[9, 5]","[0, 0]","[0, 0]",1
11,"[0, 3]",111.19999999999582,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",72.79999999999801,"[8, 8]","[0, 0]","[0, 0]",1
13,"[0, 1]",81.7499999999975,"[11, 22]","[0, 0]","[0, 0]",1
14,"[0, 1]",82.84999999999744,"[13, 13]","[0, 0]","[0, 0]",1
15,"[2, 3]",74.5999999999979,"[12, 12]","[0, 0]","[0, 0]",1
16,"[2, 1]",45.19999999999957,"[15, 1]","[0, 0]","[0, 0]",1
17,"[2, 1]",46.19999999999951,"[16, 16]","[0, 0]","[0, 0]",1
18,"[0, 1]",83.89999999999738,"[14, 14]","[0, 0]","[0, 0]",1
19,"[0, 3]",114.84999999999562,"[18, 26]","[0, 0]","[0, 0]",1
20,"[2, 1]",46.849999999999476,"[17, 17]","[0, 0]","[0, 0]",1
21,"[2, 1]",57.79999999999885,"[20, 9]","[5.549999999999988, 0]","[5.549999999999988, 0]",1
22,"[2, 1]",58.04999999999884,"[21, 21]","[9.399999999999999, 0]","[2.799999999999998, 0]",1
23,"[0, 3]",116.8499999999955,"[19, 19]","[0, 0]","[0, 0]",1
24,"[0, 1]",87.19999999999719,"[23, 33]","[0, 0]","[0, 0]",1
