Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 3]",69.84999999999818,"[0, 0]","[0, 0]","[0, 0]",1
3,"[2, 3]",73.14999999999799,"[2, 2]","[0, 0]","[0, 0]",1
4,"[0, 1]",68.29999999999826,"[1, 1]","[0, 0]","[0, 0]",1
5,"[0, 1]",71.59999999999808,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 3]",71.64999999999807,"[3, 3]","[0, 0]","[0, 0]",1
7,"[2, 3]",74.44999999999791,"[6, 6]","[0, 0]","[0, 0]",1
8,"[2, 3]",77.14999999999776,"[7, 7]","[0, 0]","[0, 0]",1
9,"[2, 3]",79.8499999999976,"[8, 8]","[0, 0]","[0, 0]",1
10,"[2, 3]",82.39999999999746,"[9, 9]","[0, 0]","[0, 0]",1
11,"[2, 3]",84.89999999999732,"[10, 10]","[0, 0]","[0, 0]",1
12,"[2, 3]",87.34999999999718,"[11, 11]","[0, 0]","[0, 0]",1
13,"[2, 3]",90.09999999999702,"[12, 12]","[0, 0]","[0, 0]",1
14,"[2, 3]",93.39999999999684,"[13, 13]","[0, 0]","[0, 0]",1
15,"[0, 1]",67.5499999999983,"[5, -999]","[0, 0]","[0, 0]",1
16,"[0, 1]",71.1999999999981,"[15, 15]","[0, 0]","[0, 0]",1
17,"[0, 1]",73.99999999999794,"[16, 16]","[0, 0]","[0, 0]",1
18,"[2, 3]",90.14999999999702,"[14, 14]","[0, 0]","[0, 0]",1
19,"[0, 1]",74.19999999999793,"[17, 17]","[0, 0]","[0, 0]",1
20,"[0, 1]",76.3999999999978,"[19, 19]","[0, 0]","[0, 0]",1
21,"[2, 3]",89.29999999999707,"[18, 18]","[7.499999999999981, 0]","[0, 0]",1
22,"[0, 1]",76.24999999999781,"[20, 20]","[0, 0]","[0, 0]",1
23,"[2, 3]",90.74999999999699,"[21, 21]","[9.45, 0]","[0, 0]",1
24,"[2, 3]",94.29999999999679,"[23, 23]","[7.099999999999983, 0]","[0, 0]",1
25,"[2, 3]",97.89999999999658,"[24, 24]","[5.399999999999989, 0]","[0, 0]",1
26,"[2, 3]",101.59999999999637,"[25, 25]","[3.8499999999999943, 0]","[0, 0]",1
27,"[2, 3]",105.24999999999616,"[26, 26]","[2.3499999999999996, 0]","[0, 0]",1
28,"[2, 3]",108.84999999999596,"[27, 27]","[0.8500000000000002, 0]","[0, 0]",1
29,"[0, 1]",68.04999999999828,"[22, 22]","[0, 0]","[0, 0]",1
30,"[2, 3]",110.24999999999588,"[28, 28]","[0, 0]","[0, 0]",1
31,"[2, 3]",113.89999999999567,"[30, 30]","[0, 0]","[0, 0]",1
32,"[2, 3]",117.54999999999546,"[31, 31]","[0, 0]","[0, 0]",1
33,"[0, 1]",67.99999999999828,"[29, 29]","[0, 0]","[0, 0]",1
34,"[2, 3]",118.89999999999539,"[32, 32]","[0.3, 0]","[0, 0]",1
35,"[2, 3]",122.49999999999518,"[34, 34]","[1.2500000000000004, 0]","[0, 0]",1
36,"[2, 3]",126.14999999999498,"[35, 35]","[1.6500000000000008, 0]","[0, 0]",1
37,"[2, 3]",129.74999999999525,"[36, 36]","[0.49999999999999994, 0]","[0, 0]",1
38,"[0, 1]",67.7499999999983,"[33, 33]","[0, 0]","[0, 0]",1
39,"[0, 1]",71.2999999999981,"[38, 38]","[0, 0]","[0, 0]",1
40,"[0, 1]",74.04999999999794,"[39, 39]","[0, 0]","[0, 0]",1
41,"[2, 3]",126.69999999999494,"[37, 37]","[0, 0]","[0, 0]",1
42,"[2, 3]",130.3499999999954,"[41, 41]","[0, 0]","[0, 0]",1
43,"[0, 1]",71.99999999999805,"[40, 40]","[0, 0]","[0, 0]",1
44,"[0, 1]",74.14999999999793,"[43, 43]","[0, 0]","[0, 0]",1
45,"[2, 3]",129.4999999999952,"[42, 42]","[0, 0]","[0, 0]",1
46,"[0, 1]",73.99999999999794,"[44, 44]","[0, 0]","[0, 0]",1
47,"[2, 3]",130.89999999999552,"[45, 45]","[0, 0]","[0, 0]",1
48,"[0, 1]",73.74999999999795,"[46, 46]","[0, 0]","[0, 0]",1
49,"[0, 1]",75.79999999999784,"[48, 48]","[0, 0]","[0, 0]",1
50,"[2, 3]",129.9999999999953,"[47, 47]","[0, 0]","[0, 0]",1
51,"[2, 3]",133.59999999999613,"[50, 50]","[0, 0]","[0, 0]",1
52,"[2, 3]",137.24999999999696,"[51, 51]","[0, 0]","[0, 0]",1
