Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.79999999999829,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[0, 1]",67.44999999999831,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[0, 1]",70.64999999999813,"[1, 1]","[0, 0]","[0, 0]",1
3,"[0, 1]",72.999999999998,"[2, 2]","[0, 0]","[0, 0]",1
4,"[2, 3]",68.49999999999825,"[0, 0]","[0, 0]","[0, 0]",1
5,"[2, 3]",71.89999999999806,"[4, 4]","[0, 0]","[0, 0]",1
6,"[2, 3]",74.5999999999979,"[5, 5]","[0, 0]","[0, 0]",1
7,"[2, 3]",76.94999999999777,"[6, 6]","[0, 0]","[0, 0]",1
8,"[0, 1]",67.94999999999828,"[3, 3]","[0, 0]","[0, 0]",1
9,"[0, 1]",70.84999999999812,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 1]",73.09999999999799,"[9, 9]","[0, 0]","[0, 0]",1
11,"[2, 3]",71.0999999999981,"[7, 7]","[0, 0]","[0, 0]",1
12,"[2, 3]",73.34999999999798,"[11, 11]","[0, 0]","[0, 0]",1
13,"[0, 1]",69.84999999999818,"[10, 10]","[0, 0]","[0, 0]",1
14,"[0, 1]",71.89999999999806,"[13, 13]","[0, 0]","[0, 0]",1
15,"[0, 1]",73.79999999999795,"[14, 14]","[0, 0]","[0, 0]",1
16,"[2, 3]",69.2999999999982,"[12, 12]","[0, 0]","[0, 0]",1
17,"[0, 1]",72.69999999999801,"[15, 15]","[0, 0]","[0, 0]",1
18,"[0, 1]",74.34999999999792,"[17, 17]","[0, 0]","[0, 0]",1
19,"[2, 3]",68.99999999999822,"[16, 16]","[0, 0]","[0, 0]",1
20,"[2, 3]",72.14999999999804,"[19, 19]","[0, 0]","[0, 0]",1
21,"[0, 1]",70.49999999999814,"[18, 18]","[0, 0]","[0, 0]",1
22,"[0, 1]",72.24999999999804,"[21, 21]","[0, 0]","[0, 0]",1
23,"[2, 3]",69.94999999999817,"[20, 20]","[0, 0]","[0, 0]",1
24,"[2, 3]",72.69999999999801,"[23, 23]","[0, 0]","[0, 0]",1
25,"[2, 3]",75.14999999999787,"[24, 24]","[0, 0]","[0, 0]",1
26,"[2, 3]",77.44999999999774,"[25, 25]","[0, 0]","[0, 0]",1
27,"[0, 1]",67.84999999999829,"[22, 22]","[0, 0]","[0, 0]",1
28,"[0, 1]",70.84999999999812,"[27, 27]","[0, 0]","[0, 0]",1
29,"[0, 1]",73.09999999999799,"[28, 28]","[0, 0]","[0, 0]",1
30,"[0, 1]",74.99999999999788,"[29, 29]","[0, 0]","[0, 0]",1
31,"[2, 3]",69.74999999999818,"[26, 26]","[0, 0]","[0, 0]",1
32,"[2, 3]",72.59999999999802,"[31, 31]","[0, 0]","[0, 0]",1
33,"[2, 3]",75.09999999999788,"[32, 32]","[0, 0]","[0, 0]",1
34,"[0, 1]",69.19999999999821,"[30, 30]","[0, 0]","[0, 0]",1
35,"[2, 3]",74.5999999999979,"[33, 33]","[0, 0]","[0, 0]",1
36,"[2, 3]",76.84999999999778,"[35, 35]","[0, 0]","[0, 0]",1
37,"[0, 1]",68.19999999999827,"[34, 34]","[0, 0]","[0, 0]",1
38,"[0, 1]",70.99999999999811,"[37, 37]","[0, 0]","[0, 0]",1
39,"[2, 3]",73.44999999999797,"[36, 36]","[0, 0]","[0, 0]",1
40,"[2, 3]",75.54999999999785,"[39, 39]","[0, 0]","[0, 0]",1
41,"[2, 3]",77.69999999999773,"[40, 40]","[0, 0]","[0, 0]",1
42,"[2, 3]",79.74999999999761,"[41, 41]","[0, 0]","[0, 0]",1
43,"[0, 1]",67.79999999999829,"[38, 38]","[0, 0]","[0, 0]",1
44,"[2, 3]",78.99999999999766,"[42, 42]","[0, 0]","[0, 0]",1
45,"[2, 3]",81.14999999999753,"[44, 44]","[0, 0]","[0, 0]",1
46,"[0, 1]",68.04999999999828,"[43, 43]","[0, 0]","[0, 0]",1
47,"[2, 3]",80.79999999999755,"[45, 45]","[0, 0]","[0, 0]",1
48,"[2, 3]",83.74999999999739,"[47, 47]","[0, 0]","[0, 0]",1
49,"[2, 3]",86.79999999999721,"[48, 48]","[0, 0]","[0, 0]",1
50,"[0, 1]",67.7499999999983,"[46, 46]","[0, 0]","[0, 0]",1
51,"[2, 3]",87.19999999999719,"[49, 49]","[7.349999999999982, 0]","[0, 0]",1
52,"[2, 3]",90.39999999999701,"[51, 51]","[5.14999999999999, 0]","[0, 0]",1
53,"[2, 3]",93.39999999999684,"[52, 52]","[6.699999999999984, 0]","[0, 0]",1
