Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[0, 1]",67.49999999999831,"[-999, 7]","[0, 0]","[0, 0]",1
1,"[2, 1]",36.45000000000007,"[-999, -999]","[0, 0]","[0, 0]",1
2,"[2, 3]",68.94999999999823,"[1, -999]","[0, 0]","[0, 0]",1
3,"[2, 1]",38.54999999999995,"[2, 1]","[0, 0]","[0, 0]",1
4,"[2, 1]",41.0999999999998,"[3, 3]","[0, 0]","[0, 0]",1
5,"[2, 3]",73.89999999999795,"[4, 2]","[0, 0]","[0, 0]",1
6,"[0, 1]",71.99999999999805,"[0, 16]","[2.25, 0]","[2.25, 0]",1
7,"[2, 1]",39.89999999999987,"[5, 4]","[0, 0]","[0, 0]",1
8,"[0, 3]",100.9999999999964,"[6, 17]","[0, 0]","[0, 0]",1
9,"[0, 3]",103.84999999999624,"[8, 8]","[0, 0]","[0, 0]",1
10,"[0, 3]",106.2999999999961,"[9, 9]","[0, 0]","[0, 0]",1
11,"[0, 3]",113.74999999999568,"[10, 24]","[2.8999999999999977, 0]","[2.8999999999999977, 0]",1
12,"[2, 1]",37.74999999999999,"[7, 0]","[0, 0]","[0, 0]",1
13,"[0, 1]",81.39999999999752,"[11, 23]","[0, 0]","[0, 0]",1
14,"[0, 1]",83.79999999999738,"[13, 13]","[0, 0]","[0, 0]",1
15,"[0, 1]",86.14999999999725,"[14, 14]","[0, 0]","[0, 0]",1
16,"[2, 1]",36.55000000000006,"[12, 12]","[0, 0]","[0, 0]",1
17,"[2, 3]",69.3999999999982,"[16, 5]","[0, 0]","[0, 0]",1
18,"[0, 1]",89.19999999999708,"[15, 33]","[3.2499999999999964, 0]","[3.2499999999999964, 0]",1
19,"[0, 1]",89.79999999999704,"[18, 18]","[0, 0]","[0, 0]",1
20,"[0, 1]",91.64999999999694,"[19, 19]","[0, 0]","[0, 0]",1
21,"[0, 1]",93.89999999999681,"[20, 20]","[0, 0]","[0, 0]",1
22,"[0, 3]",126.04999999999498,"[21, 30]","[0, 0]","[0, 0]",1
23,"[2, 1]",36.55000000000006,"[17, 6]","[0, 0]","[0, 0]",1
24,"[2, 3]",72.74999999999801,"[23, 10]","[0, 0]","[0, 0]",1
25,"[0, 3]",124.14999999999509,"[22, 22]","[0, 0]","[0, 0]",1
26,"[0, 1]",96.84999999999664,"[25, 37]","[0, 0]","[0, 0]",1
27,"[2, 3]",74.5999999999979,"[24, 11]","[0, 0]","[0, 0]",1
28,"[2, 3]",76.3999999999978,"[27, 27]","[0, 0]","[0, 0]",1
29,"[2, 3]",78.1499999999977,"[28, 28]","[0, 0]","[0, 0]",1
30,"[2, 3]",79.8999999999976,"[29, 29]","[0, 0]","[0, 0]",1
31,"[0, 3]",124.19999999999509,"[26, 40]","[3.2999999999999963, 0]","[3.2999999999999963, 0]",1
32,"[0, 1]",94.99999999999675,"[31, 26]","[0, 0]","[0, 0]",1
33,"[2, 1]",40.09999999999986,"[30, 15]","[0, 0]","[0, 0]",1
34,"[0, 3]",126.24999999999497,"[32, 43]","[0, 0]","[0, 0]",1
35,"[0, 3]",128.54999999999498,"[34, 34]","[0, 0]","[0, 0]",1
36,"[0, 1]",100.39999999999644,"[35, 32]","[0, 0]","[0, 0]",1
37,"[2, 1]",56.14999999999895,"[33, 21]","[9.900000000000006, 0]","[9.900000000000006, 0]",1
38,"[2, 3]",94.19999999999679,"[37, 25]","[9.800000000000004, 0]","[2.799999999999998, 0]",1
39,"[0, 1]",97.19999999999662,"[36, 36]","[0, 0]","[0, 0]",1
40,"[2, 3]",93.9499999999968,"[38, 38]","[4.599999999999992, 0]","[0, 0]",1
41,"[0, 1]",96.79999999999664,"[39, 39]","[0, 0]","[0, 0]",1
42,"[0, 3]",131.19999999999558,"[41, 50]","[0, 0]","[0, 0]",1
43,"[2, 3]",96.34999999999667,"[40, 31]","[10.050000000000008, 0]","[0, 0]",1
44,"[0, 3]",136.1499999999967,"[42, 51]","[2.7499999999999982, 0]","[2.7499999999999982, 0]",1
45,"[0, 3]",143.0999999999983,"[44, 53]","[2.1500000000000004, 0]","[2.1500000000000004, 0]",1
46,"[0, 1]",112.74999999999574,"[45, -999]","[0, 0]","[0, 0]",1
47,"[2, 3]",100.89999999999641,"[43, 35]","[12.30000000000004, 0]","[6.5999999999999845, 0]",1
48,"[2, 3]",103.59999999999626,"[47, 47]","[3.699999999999995, 0]","[0, 0]",1
49,"[0, 3]",141.4499999999979,"[46, 58]","[0.6, 0]","[0, 0]",1
50,"[2, 3]",103.64999999999625,"[48, 48]","[0.9500000000000003, 0]","[0, 0]",1
51,"[2, 3]",111.7499999999958,"[50, 42]","[0, 0]","[0, 0]",1
52,"[0, 1]",107.64999999999603,"[49, 61]","[0, 0]","[0, 0]",1
53,"[2, 3]",116.29999999999553,"[51, 44]","[0, 0]","[0, 0]",1
54,"[0, 3]",138.54999999999725,"[52, 64]","[0, 0]","[0, 0]",1
55,"[0, 1]",110.49999999999586,"[54, 52]","[0, 0]","[0, 0]",1
56,"[0, 1]",112.84999999999573,"[55, 55]","[0, 0]","[0, 0]",1
57,"[0, 3]",145.3499999999988,"[56, 65]","[0, 0]","[0, 0]",1
58,"[2, 3]",111.99999999999578,"[53, 45]","[0, 0]","[0, 0]",1
59,"[0, 3]",145.99999999999895,"[57, 57]","[0, 0]","[0, 0]",1
60,"[0, 1]",118.6499999999954,"[59, 66]","[0, 0]","[0, 0]",1
61,"[2, 1]",76.24999999999781,"[58, 46]","[2.3499999999999996, 0]","[0, 0]",1
62,"[0, 1]",118.24999999999542,"[60, 60]","[0, 0]","[0, 0]",1
63,"[0, 3]",152.15000000000035,"[62, 69]","[0, 0]","[0, 0]",1
64,"[2, 3]",105.54999999999615,"[61, 49]","[0, 0]","[0, 0]",1
65,"[2, 3]",113.94999999999567,"[64, 54]","[3.149999999999997, 0]","[3.149999999999997, 0]",1
66,"[2, 1]",91.14999999999696,"[65, 56]","[0, 0]","[0, 0]",1
67,"[0, 1]",116.59999999999552,"[63, 70]","[0, 0]","[0, 0]",1
68,"[2, 3]",127.19999999999492,"[66, 59]","[3.2999999999999963, 0]","[3.2999999999999963, 0]",1
69,"[2, 3]",130.14999999999534,"[68, 68]","[0, 0]","[0, 0]",1
70,"[2, 1]",101.54999999999637,"[69, 62]","[0.9000000000000002, 0]","[0, 0]",1
71,"[2, 1]",110.69999999999585,"[70, 67]","[0.9000000000000002, 0]","[0, 0]",1
72,"[0, 1]",112.39999999999576,"[67, 71]","[2.6499999999999986, 0]","[2.6499999999999986, 0]",1
73,"[0, 1]",113.89999999999567,"[72, 72]","[0, 0]","[0, 0]",1
74,"[2, 3]",135.79999999999663,"[71, 63]","[4.049999999999994, 0]","[0, 0]",1
75,"[0, 3]",145.7999999999989,"[73, 76]","[0, 0]","[0, 0]",1
76,"[2, 3]",137.09999999999692,"[74, 74]","[1.7500000000000009, 0]","[0, 0]",1
77,"[0, 1]",114.89999999999561,"[75, 73]","[0, 0]","[0, 0]",1
78,"[0, 3]",147.5499999999993,"[77, 75]","[0, 0]","[0, 0]",1
79,"[0, 3]",150.95000000000007,"[78, 78]","[0.9500000000000003, 0]","[0, 0]",1
