Vehicle_label,Road_order,Total_time,Leading_vehicles,Stopped_time,Stop_while_front,Round_number
0,"[2, 3]",67.7499999999983,"[-999, -999]","[0, 0]","[0, 0]",1
1,"[2, 3]",70.84999999999812,"[0, 0]","[0, 0]","[0, 0]",1
2,"[0, 3]",97.34999999999661,"[-999, 14]","[0, 0]","[0, 0]",1
3,"[0, 3]",100.49999999999643,"[2, 2]","[0, 0]","[0, 0]",1
4,"[0, 3]",107.54999999999603,"[3, 25]","[2.799999999999998, 0]","[2.799999999999998, 0]",1
5,"[0, 3]",108.59999999999597,"[4, 4]","[0, 0]","[0, 0]",1
6,"[0, 3]",114.44999999999564,"[5, 30]","[2.3499999999999996, 0]","[2.3499999999999996, 0]",1
7,"[2, 1]",37.15000000000003,"[1, -999]","[0, 0]","[0, 0]",1
8,"[2, 3]",69.99999999999817,"[7, 1]","[0, 0]","[0, 0]",1
9,"[2, 1]",39.74999999999988,"[8, 7]","[0, 0]","[0, 0]",1
10,"[0, 1]",83.19999999999742,"[6, 29]","[0, 0]","[0, 0]",1
11,"[2, 1]",41.749999999999766,"[9, 9]","[0, 0]","[0, 0]",1
12,"[0, 3]",116.39999999999553,"[10, 32]","[0, 0]","[0, 0]",1
13,"[0, 3]",117.34999999999548,"[12, 12]","[0, 0]","[0, 0]",1
14,"[2, 3]",70.04999999999816,"[11, 8]","[0, 0]","[0, 0]",1
15,"[0, 3]",123.64999999999512,"[13, 34]","[2.5999999999999988, 0]","[2.5999999999999988, 0]",1
16,"[0, 3]",129.29999999999515,"[15, 36]","[2.3, 0]","[2.3, 0]",1
17,"[0, 3]",134.59999999999636,"[16, 37]","[2.3, 0]","[2.3, 0]",1
18,"[0, 3]",135.2499999999965,"[17, 17]","[0, 0]","[0, 0]",1
19,"[0, 1]",106.2499999999961,"[18, 39]","[0, 0]","[0, 0]",1
20,"[2, 1]",41.1999999999998,"[14, 11]","[0, 0]","[0, 0]",1
21,"[0, 1]",106.79999999999607,"[19, 19]","[0.7000000000000001, 0]","[0, 0]",1
22,"[0, 3]",140.0499999999976,"[21, 45]","[1.2000000000000004, 0]","[0, 0]",1
23,"[2, 1]",43.04999999999969,"[20, 20]","[0, 0]","[0, 0]",1
24,"[2, 1]",44.5999999999996,"[23, 23]","[0, 0]","[0, 0]",1
25,"[2, 3]",75.69999999999784,"[24, 3]","[0, 0]","[0, 0]",1
26,"[0, 3]",146.59999999999908,"[22, 46]","[3.4499999999999957, 0]","[2.1500000000000004, 0]",1
27,"[0, 3]",152.3500000000004,"[26, 47]","[3.4999999999999956, 0]","[2.1500000000000004, 0]",1
28,"[2, 1]",46.09999999999952,"[25, 24]","[0, 0]","[0, 0]",1
29,"[2, 1]",47.49999999999944,"[28, 28]","[0, 0]","[0, 0]",1
30,"[2, 3]",80.29999999999758,"[29, 5]","[0, 0]","[0, 0]",1
31,"[0, 1]",120.79999999999528,"[27, -999]","[1.4500000000000006, 0]","[0, 0]",1
32,"[2, 3]",86.59999999999722,"[30, 6]","[3.1999999999999966, 0]","[3.1999999999999966, 0]",1
33,"[2, 1]",56.74999999999891,"[32, 10]","[0, 0]","[0, 0]",1
34,"[2, 3]",94.44999999999678,"[33, 13]","[0, 0]","[0, 0]",1
35,"[0, 3]",153.7000000000007,"[31, 51]","[1.5000000000000007, 0]","[0, 0]",1
36,"[2, 3]",100.84999999999641,"[34, 15]","[11.100000000000023, 0]","[0, 0]",1
37,"[2, 3]",106.69999999999608,"[36, 16]","[17.20000000000011, 0]","[0, 0]",1
38,"[2, 1]",75.04999999999788,"[37, -999]","[14.800000000000075, 0]","[0, 0]",1
39,"[2, 1]",77.74999999999773,"[38, 38]","[13.150000000000052, 0]","[0, 0]",1
40,"[0, 1]",124.19999999999509,"[35, 52]","[1.6000000000000008, 0]","[0, 0]",1
41,"[2, 3]",110.64999999999586,"[39, 18]","[11.65000000000003, 0]","[0, 0]",1
42,"[0, 3]",155.050000000001,"[40, 35]","[1.7000000000000008, 0]","[0, 0]",1
43,"[0, 3]",157.2000000000015,"[42, 42]","[1.7500000000000009, 0]","[0, 0]",1
44,"[0, 3]",158.65000000000182,"[43, 43]","[1.7500000000000009, 0]","[0, 0]",1
45,"[2, 3]",112.79999999999573,"[41, 41]","[10.20000000000001, 0]","[0, 0]",1
46,"[2, 3]",120.14999999999532,"[45, 22]","[8.79999999999999, 0]","[0, 0]",1
47,"[2, 3]",126.69999999999494,"[46, 26]","[8.699999999999989, 0]","[0, 0]",1
